created_at,entry_id,field2
2024-03-21 19:43:39 UTC,6,51
2024-03-22 00:22:00 UTC,7,0.0
2024-03-22 00:22:41 UTC,8,28.8
2024-03-22 00:49:19 UTC,9,28.8
2024-03-22 00:50:03 UTC,10,0.0
2024-03-22 00:50:29 UTC,11,28.8
2024-03-22 00:50:53 UTC,12,28.8
2024-03-22 00:51:13 UTC,13,28.8
2024-03-22 00:51:31 UTC,14,28.8
2024-03-22 00:51:55 UTC,15,28.8
2024-03-22 00:52:11 UTC,16,28.8
2024-03-22 00:52:31 UTC,17,28.8
2024-03-22 00:54:10 UTC,18,25.69
2024-03-22 00:54:35 UTC,19,25.69
2024-03-22 00:54:57 UTC,20,25.69
2024-03-22 00:55:24 UTC,21,25.69
2024-03-22 00:55:41 UTC,22,25.69
2024-03-22 00:56:10 UTC,23,25.69
2024-03-22 00:56:34 UTC,24,25.69
2024-03-22 00:57:03 UTC,25,25.69
2024-03-22 00:58:30 UTC,26,25.69
2024-03-22 00:58:56 UTC,27,25.69
2024-03-22 01:00:02 UTC,28,25.69
2024-03-22 01:00:23 UTC,29,25.69
2024-03-22 01:00:39 UTC,30,25.69
2024-03-22 01:01:34 UTC,31,25.69
2024-03-22 01:02:13 UTC,32,25.69
2024-03-22 01:02:51 UTC,33,25.69
2024-03-22 01:04:01 UTC,34,0.0
2024-03-22 01:05:09 UTC,35,25.69
2024-03-22 01:05:35 UTC,36,25.69
2024-03-22 01:06:53 UTC,37,25.69
2024-03-22 01:07:16 UTC,38,25.69
2024-03-22 01:07:32 UTC,39,26.8
2024-03-22 01:07:49 UTC,40,26.8
2024-03-22 01:08:13 UTC,41,26.8
2024-03-22 01:08:39 UTC,42,26.8
2024-03-22 01:11:00 UTC,43,26.8
2024-03-22 01:11:26 UTC,44,26.8
2024-03-22 01:11:59 UTC,45,26.8
2024-03-22 01:12:22 UTC,46,26.8
2024-03-22 01:12:46 UTC,47,26.8
2024-03-22 01:13:09 UTC,48,26.8
2024-03-22 01:13:32 UTC,49,26.8
2024-03-22 01:13:47 UTC,50,26.8
2024-03-22 01:14:11 UTC,51,26.8
2024-03-22 01:14:35 UTC,52,26.8
2024-03-22 01:15:00 UTC,53,26.8
2024-03-22 01:15:24 UTC,54,26.8
2024-03-22 01:15:47 UTC,55,26.8
2024-03-22 01:16:10 UTC,56,26.8
2024-03-22 01:16:25 UTC,57,26.8
2024-03-22 01:16:47 UTC,58,26.8
2024-03-22 01:17:24 UTC,59,41
2024-03-22 01:17:45 UTC,60,45
2024-03-22 01:18:06 UTC,61,48
2024-03-22 01:18:27 UTC,62,14
2024-03-22 01:18:48 UTC,63,3
2024-03-22 01:19:09 UTC,64,25
2024-03-22 01:19:30 UTC,65,69
2024-03-22 01:19:51 UTC,66,64
2024-03-22 01:20:12 UTC,67,8
2024-03-22 01:20:33 UTC,68,2
2024-03-22 01:20:54 UTC,69,3
2024-03-22 01:21:15 UTC,70,5
2024-03-22 01:21:36 UTC,71,46
2024-03-22 01:21:57 UTC,72,7
2024-03-22 01:22:18 UTC,73,72
2024-03-22 01:22:39 UTC,74,79
2024-03-22 01:23:20 UTC,75,26.8
2024-03-22 01:25:05 UTC,76,26.8
2024-03-22 01:32:18 UTC,77,0.0
2024-03-22 01:33:10 UTC,78,26.8
2024-03-22 01:33:33 UTC,79,26.8
2024-03-22 01:33:55 UTC,80,26.8
2024-03-22 01:34:19 UTC,81,26.8
2024-03-22 01:34:36 UTC,82,26.8
2024-03-22 01:34:58 UTC,83,26.8
2024-03-22 01:35:26 UTC,84,26.8
2024-03-22 01:39:38 UTC,85,0.0
2024-03-22 01:40:05 UTC,86,14.09
2024-03-22 01:40:34 UTC,87,14.09
2024-03-22 01:41:04 UTC,88,0.0
2024-03-22 01:42:11 UTC,89,14.09
2024-03-22 01:42:37 UTC,90,14.09
2024-03-22 01:43:02 UTC,91,14.09
2024-03-22 01:43:21 UTC,92,0.0
2024-03-22 01:45:45 UTC,93,0.0
2024-03-22 01:48:22 UTC,94,14.09
2024-03-22 01:48:49 UTC,95,14.09
2024-03-22 01:49:13 UTC,96,14.09
2024-03-22 01:49:36 UTC,97,14.09
2024-03-22 01:50:01 UTC,98,14.09
2024-03-22 01:50:28 UTC,99,14.09
2024-03-22 01:53:44 UTC,100,14.09
2024-03-22 01:54:17 UTC,101,14.09
2024-03-22 01:56:42 UTC,102,0.0
2024-03-22 01:57:10 UTC,103,14.09
2024-03-22 01:58:42 UTC,104,0.0
2024-03-22 01:59:01 UTC,105,14.09
