created_at,entry_id,field1
2024-03-21 19:43:39 UTC,6,28
2024-03-22 00:22:00 UTC,7,0.00000
2024-03-22 00:22:41 UTC,8,0.00000
2024-03-22 00:49:19 UTC,9,0.00000
2024-03-22 00:50:03 UTC,10,0.00000
2024-03-22 00:50:29 UTC,11,0.00000
2024-03-22 00:50:53 UTC,12,0.00000
2024-03-22 00:51:13 UTC,13,0.00000
2024-03-22 00:51:31 UTC,14,0.00000
2024-03-22 00:51:55 UTC,15,0.00000
2024-03-22 00:52:11 UTC,16,0.00000
2024-03-22 00:52:31 UTC,17,0.00000
2024-03-22 00:54:10 UTC,18,0.00000
2024-03-22 00:54:35 UTC,19,0.00000
2024-03-22 00:54:57 UTC,20,0.00000
2024-03-22 00:55:24 UTC,21,0.00000
2024-03-22 00:55:41 UTC,22,0.00000
2024-03-22 00:56:10 UTC,23,0.00000
2024-03-22 00:56:34 UTC,24,0.00000
2024-03-22 00:57:03 UTC,25,0.00000
2024-03-22 00:58:30 UTC,26,0.00000
2024-03-22 00:58:56 UTC,27,0.00000
2024-03-22 01:00:02 UTC,28,0.00000
2024-03-22 01:00:23 UTC,29,0.00000
2024-03-22 01:00:39 UTC,30,0.00000
2024-03-22 01:01:34 UTC,31,0.00000
2024-03-22 01:02:13 UTC,32,0.00000
2024-03-22 01:02:51 UTC,33,0.00000
2024-03-22 01:04:01 UTC,34,0.00000
2024-03-22 01:05:09 UTC,35,0.00000
2024-03-22 01:05:35 UTC,36,0.00000
2024-03-22 01:06:53 UTC,37,30.20000
2024-03-22 01:07:16 UTC,38,29.80000
2024-03-22 01:07:32 UTC,39,30.80000
2024-03-22 01:07:49 UTC,40,30.80000
2024-03-22 01:08:13 UTC,41,30.20000
2024-03-22 01:08:39 UTC,42,29.80000
2024-03-22 01:11:00 UTC,43,29.80000
2024-03-22 01:11:26 UTC,44,29.80000
2024-03-22 01:11:59 UTC,45,29.80000
2024-03-22 01:12:22 UTC,46,29.30000
2024-03-22 01:12:46 UTC,47,29.30000
2024-03-22 01:13:09 UTC,48,29.30000
2024-03-22 01:13:32 UTC,49,29.30000
2024-03-22 01:13:47 UTC,50,29.30000
2024-03-22 01:14:11 UTC,51,28.90000
2024-03-22 01:14:35 UTC,52,28.90000
2024-03-22 01:15:00 UTC,53,28.90000
2024-03-22 01:15:24 UTC,54,28.90000
2024-03-22 01:15:47 UTC,55,28.90000
2024-03-22 01:16:10 UTC,56,28.90000
2024-03-22 01:16:25 UTC,57,28.90000
2024-03-22 01:16:47 UTC,58,28.90000
2024-03-22 01:17:24 UTC,59,23
2024-03-22 01:17:45 UTC,60,24
2024-03-22 01:18:06 UTC,61,25
2024-03-22 01:18:27 UTC,62,26
2024-03-22 01:18:48 UTC,63,27
2024-03-22 01:19:09 UTC,64,28
2024-03-22 01:19:30 UTC,65,29
2024-03-22 01:19:51 UTC,66,30
2024-03-22 01:20:12 UTC,67,31
2024-03-22 01:20:33 UTC,68,32
2024-03-22 01:20:54 UTC,69,33
2024-03-22 01:21:15 UTC,70,34
2024-03-22 01:21:36 UTC,71,35
2024-03-22 01:21:57 UTC,72,36
2024-03-22 01:22:18 UTC,73,37
2024-03-22 01:22:39 UTC,74,38
2024-03-22 01:23:20 UTC,75,28.90000
2024-03-22 01:25:05 UTC,76,28.50000
2024-03-22 01:32:18 UTC,77,32.30000
2024-03-22 01:33:10 UTC,78,30.80000
2024-03-22 01:33:33 UTC,79,30.20000
2024-03-22 01:33:55 UTC,80,30.10000
2024-03-22 01:34:19 UTC,81,31.30000
2024-03-22 01:34:36 UTC,82,32.30000
2024-03-22 01:34:58 UTC,83,33.30000
2024-03-22 01:35:26 UTC,84,33.30000
2024-03-22 01:39:38 UTC,85,31.30000
2024-03-22 01:40:05 UTC,86,29.30000
2024-03-22 01:40:34 UTC,87,29.30000
2024-03-22 01:41:04 UTC,88,28.90000
2024-03-22 01:42:11 UTC,89,28.90000
2024-03-22 01:42:37 UTC,90,28.90000
2024-03-22 01:43:02 UTC,91,28.90000
2024-03-22 01:43:21 UTC,92,28.90000
2024-03-22 01:45:45 UTC,93,28.90000
2024-03-22 01:48:22 UTC,94,28.90000
2024-03-22 01:48:49 UTC,95,28.90000
2024-03-22 01:49:13 UTC,96,28.90000
2024-03-22 01:49:36 UTC,97,28.90000
2024-03-22 01:50:01 UTC,98,28.90000
2024-03-22 01:50:28 UTC,99,28.90000
2024-03-22 01:53:44 UTC,100,28.90000
2024-03-22 01:54:17 UTC,101,28.90000
2024-03-22 01:56:42 UTC,102,28.90000
2024-03-22 01:57:10 UTC,103,28.50000
2024-03-22 01:58:42 UTC,104,28.50000
2024-03-22 01:59:01 UTC,105,28.50000
